Authors	Year	Title	Journal	DOI	Oases	lat	long	Country	Reviewer
Neveen S. Gadallah, U. M. Abu El-Ghiet, Y. A. Edmardash, F. J. Peris-Felipo	2015	Ichneumonidae Latreille, 1802 (Hymenoptera) Diversity in Alfalfa Fields (Medicago sativa L.) From Two Egyptian Western Desert Oases	Egyptian Journal of Biological Pest Control		Bahariya oasis	28.385161	28.910502	Egypt	JAHA
Neveen S. Gadallah, U. M. Abu El-Ghiet, Y. A. Edmardash, F. J. Peris-Felipo	2015	Ichneumonidae Latreille, 1802 (Hymenoptera) Diversity in Alfalfa Fields (Medicago sativa L.) From Two Egyptian Western Desert Oases	Egyptian Journal of Biological Pest Control		Farafra	27.056532	27.962671	Egypt	JAHA
Wael F Galal, Mahmoud H Darwish	2020	Geoenvironmental assessment of the Mut wastewater ponds in the Dakhla Oasis, Egypt	Geocarto International 	10.1080/10106049.2020.1856197	Dakhla	25.520135	29.126163	Egypt	JAHA
R . Gamie , F. DeSmedt	2017	Experimental and statistical study of saturated hydraulic conductivity and relations with other soil properties of a desert soil	European Journal of Soil Science	10.1111/ejss.12519	Kharga oasis	25.45255	30.555723	Egypt	JAHA
M. M. Gobashy , A. M. Metwally, M. Abdelazeem, K. S. Soliman, A. Abdelhalim	2021	Geophysical Exploration of Shallow Groundwater Aquifers in Arid Regions: A Case Study of Siwa Oasis, Egypt	Natural Resources Research	10.1007/s11053-021-09897-3	Siwa	29.206355	25.531078	Egypt	JAHA
W. Gossel ,  A. M. Ebraheem , P. Wycisk	1998	A very large scale GIS-based groundwater flow model for the Nubian sandstone aquifer in Eastern Sahara (Egypt, northern Sudan and eastern Libya)	Hydroecology Journal	10.1007/s10040-004-0379-4	Kharga oasis	25.45255	30.555723	Egypt	JAHA
W. Gossel ,  A. M. Ebraheem , P. Wycisk	1998	A very large scale GIS-based groundwater flow model for the Nubian sandstone aquifer in Eastern Sahara (Egypt, northern Sudan and eastern Libya)	Hydroecology Journal	10.1007/s10040-004-0379-4	Kufra	24.189204	23.337465	Libya	JAHA
W. Gossel ,  A. M. Ebraheem , P. Wycisk	1998	A very large scale GIS-based groundwater flow model for the Nubian sandstone aquifer in Eastern Sahara (Egypt, northern Sudan and eastern Libya)	Hydroecology Journal	10.1007/s10040-004-0379-4	Dakhla	25.520135	29.126163	Egypt	JAHA
HANS GOSTEN, G13NTHER HEINRICH,ERBO MONNICH,DETLEV SPRUNG, JOSEPH WEPPNER,ABOU BAKR RAMADAN, MOHAMMED R. M. EZZ EL-DIN,DARWISH M. AHMED, GALAL K. Y. HASSAN	1996	ON-LINE MEASUREMENTS OF OZONE SURFACE FLUXES: PART II. SURFACE-LEVEL OZONE FLUXES ONTO THE SAHARA DESERT	Atmospheric Environment	10.1016/1352-2310(95)00270-7	Dakhla	25.520135	29.126163	Egypt	JAHA
Mona A. Haggag, Amin Strougo, Hanspeter Luterbacher, Ulrike Wielandt	2010	Paleocene-Early Eocene planktic foraminifera of the Farafra Oasis, Egypt	Neues Jahrbuch für Geologie und Paläontologie 	10.1127/0077-7749/2010/0041	Farafra	27.056532	27.962671	Egypt	JAHA
Ayihumaier Halipu, Xuechen Wang, Erina Iwasaki, Wei Yang and Akihiko Kondoh	2022	Quantifying Water Consumption through the Satellite Estimation of Land Use/Land Cover and Groundwater Storage Changes in a Hyper-Arid Region of Egypt	Remote sensing	10.3390/rs14112608	El-Kharga	25.453273	30.554968	Egypt	MF
Ayihumaier Halipu, Xuechen Wang, Erina Iwasaki, Wei Yang and Akihiko Kondoh	2022	Quantifying Water Consumption through the Satellite Estimation of Land Use/Land Cover and Groundwater Storage Changes in a Hyper-Arid Region of Egypt	Remote sensing	10.3390/rs14112608 	Dakhleh	25.550941	28.932225	Egypt	MF
Ayihumaier Halipu, Xuechen Wang, Erina Iwasaki, Wei Yang and Akihiko Kondoh	2022	Quantifying Water Consumption through the Satellite Estimation of Land Use/Land Cover and Groundwater Storage Changes in a Hyper-Arid Region of Egypt	Remote sensing	10.3390/rs14112608 	Farafra	27.056532	27.962671	Egypt	MF
Ayihumaier Halipu, Xuechen Wang, Erina Iwasaki, Wei Yang and Akihiko Kondoh	2022	Quantifying Water Consumption through the Satellite Estimation of Land Use/Land Cover and Groundwater Storage Changes in a Hyper-Arid Region of Egypt	Remote sensing	10.3390/rs14112608 	Bir Tarfawi	22.551306	28.665611	Egypt	MF
Matthias Halisch, Andreas Weller, Carl-Diedrich Sattler, Wolfgang Debschütz,Abdel Moktader El-Sayed	2009	A Complex Core-Log Case Study of an Anisotropic Sandstone, Originating from Bahariya Formation, Abu Gharadig Basin, Egypt	Petrophysics		Bahariya oasis	28.385161	28.910502	Egypt	JAHA
Mohamed A. Hamdan, Giulio Lucarini	2013	Holocene paleoenvironmental, paleoclimatic and geoarchaeological significance of the Sheikh El-Obeiyid area (Farafra Oasis, Egypt)	Quaternary International	10.1016/j.quaint.2013.01.009	Farafra	27.056532	27.962671	Egypt	JAHA
M.A. Hamdan, M.I.A. Ibrahim , M.A. Shiha , R.J. Flower , F.A. Hassan , S.A.M. Eltelet	2016	An exploratory Early and Middle Holocene sedimentary record with palynoforms and diatoms from Faiyum lake, Egypt	Quaternary International	10.1016/j.quaint.2015.12.049	Fayum	29.334534	30.767347	Egypt	JAHA
M.A. Hamdan, R.J. Flower, F.A. Hassan, S.M. Hassan	2020	The Holocene history of the Faiyum Lake (Egypt) based on sediment characteristics, diatoms and ostracods contents	Journal of Great Lakes Research	10.1016/j.jglr.2020.03.016	Fayum	29.334534	30.767347	Egypt	JAHA
Mervat Hassan, Hassan Baioumy	2007	Characterization and origin of alunite in the El-Gideda iron mine (Egypt)	Periodico di Mineralogia		Bahariya oasis	28.385161	28.910502	Egypt	JAHA
F. A. Hassan,B. Barich, M. Mahmoud,M. A. Hemdan4	2001	Holocene Playa Deposits of Farafra Oasis, Egypt, and Their Palaeoclimatic and Geoarchaeological Significance	Geoarchaeology: An International Journal	10.1002/1520-6548(200101)16:13.3.CO	Farafra	27.056532	27.962671	Egypt	JAHA
Saad EL-Din Hassan, Salem S. Salem, Amr Fouda , Mohamed A. Awad , Mamdouh S. El-Gamal , Abdullah M. Abdo	2018	New approach for antimicrobial activity and bio-control of various pathogens by biosynthesized copper nanoparticles using endophytic actinomycetes	Journal of Radiation Research and Applied Sciences	10.1016/j.jrras.2018.05.003	Bahariya oasis	28.385161	28.910502	Egypt	JAHA
Khairy H. A. Hassan, Salman Alamery, Mohamed Farouk El-Kholy, Shobhan Das and Mounir M. Salem-Bekhit	2022	Effect of Some Soil Conditioners on Water-Use Efficacy, Growth, and Yield of Date Palm Siwi Grown in Sandy Soil under Different Irrigation Regimes to Mitigate Climate Change	Sustainability	10.3390/su141811421 	Bahariya oasis	28.385161	28.910502	Egypt	MF
